symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap,bid,ask,delta,theta,vega,rho,epsilon,lambda,gamma,vanna,charm,vomma,veta,vera,speed,zomma,color,ultima,d1,d2,dual_delta,dual_gamma,implied_vol,iv_error,underlying_timestamp,underlying_price,bid_implied_vol,midpoint,bar_iv,ask_implied_vol,last_day_OI,timestamp_oi,effective_date_oi,file_date,file_path,total_rows
QQQ,2026-04-17,635.0,call,2025-12-11 10:50:00,27.76,27.76,27.76,27.76,1,1,26.19,27.19,27.54,0.5096,-0.1421,146.3749,100.4437,-109.8886,11.6347,0.0055,0.1849,-0.1798,-1.6343,24.8204,0.0,0.0,0.0,-5.0439,-25.3135,0.024,-0.0902,-0.4582,0.0,0.1945,0.0,2025-12-11 10:50:00,624.66,0.1934,27.36,0.1945,0.1958,945.0,2025-12-11 01:30:01,2025-12-10,2025-12-11,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-11T00-00-00Z-QQQ-option-5m_part06.csv,52663
QQQ,2028-01-21,820.0,put,2025-12-11 11:00:00,0.0,0.0,0.0,0.0,0,0,197.51,192.0,197.0,-0.5965,-0.0096,352.0637,-1199.1389,788.2903,-1.9186,0.0014,0.8873,-0.0946,197.1503,448.2351,0.0,0.0,0.0,-87.7783,-100.0,-0.2443,-0.668,0.6922,0.0001,0.2915,0.0,2025-12-11 11:00:00,625.6,0.2843,194.5,0.2915,0.2985,176.0,2025-12-11 01:30:00,2025-12-10,2025-12-11,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-11T00-00-00Z-QQQ-option-5m_part07.csv,9137
QQQ,2026-09-30,580.0,put,2025-12-12 05:25:00,0.0,0.0,0.0,0.0,0,0,0.0,28.61,29.08,-0.2979,-0.0593,191.1835,-169.7344,146.7414,-6.3819,0.0025,-0.4383,0.0096,128.2152,75.257,0.0,0.0,0.0,-17.3663,-100.0,0.5302,0.3108,0.367,0.0001,0.2457,0.0,2025-12-12 05:25:00,617.74,0.2445,28.84,0.2457,0.247,432.0,2025-12-12 01:30:00,2025-12-11,2025-12-12,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-12T00-00-00Z-QQQ-option-5m_part01.csv,53387
QQQ,2026-01-23,570.0,put,2025-12-12 06:25:00,0.0,0.0,0.0,0.0,0,0,3.92,4.86,4.94,-0.1708,-0.1447,52.7683,-12.6116,12.0477,-21.3666,0.0049,-0.8874,0.8452,175.3323,3.018,0.0,0.0,0.0,-0.6877,-100.0,0.9506,0.8665,0.1922,0.0,0.2479,0.0,2025-12-12 06:25:00,612.67,0.2471,4.9,0.2479,0.2486,259.0,2025-12-12 01:30:01,2025-12-11,2025-12-12,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-12T00-00-00Z-QQQ-option-5m_part02.csv,52547
QQQ,2025-12-22,648.0,call,2025-12-12 07:25:00,0.0,0.0,0.0,0.0,0,0,0.13,0.12,0.14,0.0225,-0.043,5.4661,0.3772,-0.3808,107.0932,0.0034,0.7134,-2.0648,145.5205,0.8149,0.0,0.0,0.0,-0.0101,100.0,-2.0029,-2.0281,-0.0212,0.0,0.1525,-0.0015,2025-12-12 07:25:00,615.22,0.1508,0.13,0.1525,0.1542,9.0,2025-12-12 01:30:02,2025-12-11,2025-12-12,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-12T00-00-00Z-QQQ-option-5m_part03.csv,52541
QQQ,2027-09-17,435.0,put,2025-12-12 08:20:00,0.0,0.0,0.0,0.0,0,0,15.55,14.82,15.85,-0.108,-0.0273,152.0236,-144.4643,117.4574,-4.3491,0.0007,-0.5172,0.027,523.7815,242.1732,0.0,0.0,0.0,28.0136,-100.0,1.2367,0.8376,0.1885,0.0002,0.3006,0.0,2025-12-12 08:20:00,616.86,0.2973,15.33,0.3006,0.304,10.0,2025-12-12 01:30:00,2025-12-11,2025-12-12,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-12T00-00-00Z-QQQ-option-5m_part04.csv,52584
QQQ,2026-02-27,626.0,put,2025-12-12 09:20:00,0.0,0.0,0.0,0.0,0,0,22.25,25.33,25.66,-0.5329,-0.105,112.1631,-74.4317,69.0544,-12.8417,0.0073,0.3528,-0.326,8.2255,12.8078,0.0,0.0,0.0,-2.312,-100.0,-0.0826,-0.1712,0.5636,0.0,0.193,0.0,2025-12-12 09:20:00,614.22,0.1915,25.49,0.193,0.1945,10.0,2025-12-12 01:30:01,2025-12-11,2025-12-12,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-12T00-00-00Z-QQQ-option-5m_part05.csv,52711
QQQ,2025-12-31,290.0,put,2025-12-12 10:20:00,0.0,0.0,0.0,0.0,0,0,0.01,0.0,0.02,-0.0002,-0.0037,0.1446,-0.0094,0.0089,-16.5152,0.0,-0.0033,0.0318,1.6314,0.0414,0.0,0.0,0.0,-0.0015,13.434,3.4516,3.2263,0.0006,0.0,0.9875,0.036,2025-12-12 10:20:00,614.16,0.5,0.01,0.9875,1.0343,921.0,2025-12-12 01:30:00,2025-12-11,2025-12-12,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-12T00-00-00Z-QQQ-option-5m_part06.csv,52609
QQQ,2028-01-21,940.0,put,2025-12-12 11:00:00,0.0,0.0,0.0,0.0,0,0,322.55,324.0,329.0,-0.6213,-0.017,338.9488,-1493.0503,804.2697,-1.1676,0.001,0.8457,-0.1043,232.9388,469.9001,0.0,0.0,-0.0001,-82.218,-100.0,-0.309,-0.8909,0.7529,0.0001,0.4006,0.0,2025-12-12 11:00:00,613.57,0.3932,326.5,0.4006,0.408,0.0,2025-12-12 01:30:00,2025-12-11,2025-12-12,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-12T00-00-00Z-QQQ-option-5m_part07.csv,38647
QQQ,2026-03-20,685.0,call,2025-12-15 05:35:00,0.0,0.0,0.0,0.0,0,0,3.0,2.84,2.89,0.1169,-0.0609,60.9467,17.6789,-18.4153,25.01,0.0037,1.501,-0.5714,554.2395,27.8535,0.0,0.0,0.0,-0.8225,-100.0,-1.1902,-1.2749,-0.1002,0.0,0.1668,-0.0003,2025-12-15 05:35:00,611.3,0.1665,2.86,0.1668,0.1673,884.0,2025-12-15 01:30:01,2025-12-14,2025-12-15,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-15T00-00-00Z-QQQ-option-5m_part01.csv,53008
QQQ,2025-12-23,636.0,call,2025-12-15 06:45:00,0.0,0.0,0.0,0.0,0,0,0.4,0.32,0.33,0.0533,-0.1002,9.8361,0.7084,-0.7154,102.319,0.0076,1.1268,-4.2248,164.655,0.939,0.0,0.0,0.0,-0.016,-100.0,-1.6132,-1.6365,-0.0508,0.0,0.1577,-0.003,2025-12-15 06:45:00,611.83,0.1577,0.32,0.1577,0.1588,35.0,2025-12-15 01:30:01,2025-12-14,2025-12-15,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-15T00-00-00Z-QQQ-option-5m_part02.csv,52443
QQQ,2026-06-30,400.0,put,2025-12-15 07:50:00,0.0,0.0,0.0,0.0,0,0,2.92,2.82,2.96,-0.0388,-0.0331,37.7068,-14.3068,12.7551,-8.2199,0.0005,-0.3366,0.1055,266.281,31.9625,0.0,0.0,0.0,1.4094,-100.0,1.7644,1.4913,0.0666,0.0,0.3726,-0.0001,2025-12-15 07:50:00,611.71,0.3707,2.89,0.3726,0.3744,465.0,2025-12-15 01:30:01,2025-12-14,2025-12-15,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-15T00-00-00Z-QQQ-option-5m_part03.csv,52474
QQQ,2025-12-31,617.0,put,2025-12-15 09:00:00,0.0,0.0,0.0,0.0,0,0,10.18,10.89,11.36,-0.5601,-0.2434,50.5482,-15.5187,15.0312,-30.8349,0.0174,0.4204,-1.2386,8.1575,1.4722,0.0,0.0,0.0,-0.1961,-100.0,-0.1513,-0.1883,0.5737,0.0,0.1766,0.0,2025-12-15 09:00:00,612.15,0.1721,11.12,0.1766,0.1813,594.0,2025-12-15 01:30:01,2025-12-14,2025-12-15,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-15T00-00-00Z-QQQ-option-5m_part04.csv,52523
QQQ,2025-12-15,610.0,call,2025-12-15 10:10:00,2.07,2.3,1.9,1.92,183,17,2.54,2.17,2.24,0.9009,-3.5158,1.1401,0.0627,-0.0629,250.6524,0.1053,-0.885,978.1039,7.4478,-0.0021,0.0,0.0,0.0,0.0,-39.6884,1.2867,1.284,-0.9004,0.0,0.2529,0.0,2025-12-15 10:10:00,612.12,0.2226,2.2,0.2529,0.2851,711.0,2025-12-15 01:30:00,2025-12-14,2025-12-15,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-15T00-00-00Z-QQQ-option-5m_part05.csv,52548
QQQ,2028-01-21,695.0,put,2025-12-15 11:00:00,0.0,0.0,0.0,0.0,0,0,103.54,103.5,108.48,-0.4878,-0.0158,352.8893,-848.5764,625.8516,-2.8099,0.0018,0.5286,-0.0719,-14.2439,364.7724,0.0,0.0,0.0,-106.9989,-100.0,0.0304,-0.3255,0.581,0.0001,0.2455,0.0,2025-12-15 11:00:00,610.49,0.2385,105.99,0.2455,0.2526,3.0,2025-12-15 01:30:01,2025-12-14,2025-12-15,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-15T00-00-00Z-QQQ-option-5m_part06.csv,42497
