symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
SPY,2022-03-31,482.0,CALL,2022-02-02T17:24:02.075,2022-02-02T15:44:32.112,2.0,2.3,1.81,2.3,226,11,150,65,1.9,50,175,60,1.94,50
SPY,2022-03-31,482.0,CALL,2022-02-02T17:39:16.985,2022-02-02T15:44:32.112,2.0,2.3,1.81,2.3,226,11,150,65,1.9,50,175,60,1.94,50
SPY,2023-03-17,430.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,20,9,53.0,50,226,4,56.61,50
SPY,2023-03-17,430.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,20,9,53.0,50,226,4,56.61,50
SPY,2022-09-16,555.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,5,69,102.36,50,5,69,104.44,50
SPY,2022-09-16,555.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,5,69,102.36,50,5,69,104.44,50
SPY,2022-03-09,345.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,44,9,108.82,50,17,6,110.16,50
SPY,2022-03-09,345.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,44,9,108.82,50,17,6,110.16,50
SPY,2022-03-31,490.0,PUT,2022-02-02T17:24:02.075,2022-02-02T14:41:20.932,35.15,35.15,35.14,35.14,2,2,1,5,37.53,50,50,1,38.37,50
SPY,2022-03-31,490.0,PUT,2022-02-02T17:39:16.985,2022-02-02T14:41:20.932,35.15,35.15,35.14,35.14,2,2,1,5,37.53,50,50,1,38.37,50
SPY,2022-03-18,215.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,1394,60,0.03,50,302,69,0.04,50
SPY,2022-03-18,215.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,1394,60,0.03,50,302,69,0.04,50
SPY,2022-07-15,215.0,PUT,2022-02-02T17:24:02.075,2022-02-02T14:56:24.472,0.73,0.73,0.73,0.73,1,1,171,47,0.78,50,152,69,0.8,50
SPY,2022-07-15,215.0,PUT,2022-02-02T17:39:16.985,2022-02-02T14:56:24.472,0.73,0.73,0.73,0.73,1,1,171,47,0.78,50,152,69,0.8,50
SPY,2022-09-16,695.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,743,9,0.01,50,796,5,0.06,50
SPY,2022-09-16,695.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,743,9,0.01,50,796,5,0.06,50
SPY,2022-02-23,295.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,210,69,0.02,50,485,60,0.03,50
SPY,2022-02-23,295.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,210,69,0.02,50,485,60,0.03,50
SPY,2022-02-02,394.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,0,22,0.0,50,594,31,0.01,50
SPY,2022-02-02,394.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,0,22,0.0,50,594,31,0.01,50
SPY,2023-01-20,330.0,PUT,2022-02-02T17:24:02.075,2022-02-02T15:16:58.713,8.8,8.94,8.71,8.94,28,6,2,7,7.8,50,9,7,10.0,50
SPY,2023-01-20,330.0,PUT,2022-02-02T17:39:16.985,2022-02-02T15:16:58.713,8.8,8.94,8.71,8.94,28,6,2,7,7.8,50,9,7,10.0,50
SPY,2022-03-18,170.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,1569,60,0.01,50,228,46,0.02,50
SPY,2022-03-18,170.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,1569,60,0.01,50,228,46,0.02,50
SPY,2022-03-04,493.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,18,31,38.39,50,47,9,39.63,50
SPY,2022-03-04,493.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,18,31,38.39,50,47,9,39.63,50
SPY,2022-02-25,436.0,PUT,2022-02-02T17:24:02.075,2022-02-02T14:40:32.216,3.36,3.36,2.83,2.83,37,7,150,65,3.57,50,50,1,3.62,50
SPY,2022-02-25,436.0,PUT,2022-02-02T17:39:16.985,2022-02-02T14:40:32.216,3.36,3.36,2.83,2.83,37,7,150,65,3.57,50,50,1,3.62,50
SPY,2022-03-02,411.0,PUT,2022-02-02T17:24:02.075,2022-02-02T14:53:43.509,1.6,1.6,1.27,1.27,4,4,138,42,1.6,50,126,42,1.64,50
SPY,2022-03-02,411.0,PUT,2022-02-02T17:39:16.985,2022-02-02T14:53:43.509,1.6,1.6,1.27,1.27,4,4,138,42,1.6,50,126,42,1.64,50
SPY,2022-04-14,474.0,CALL,2022-02-02T17:24:02.075,2022-02-02T13:43:21.376,4.83,5.43,4.82,5.43,41,7,35,7,4.91,50,32,42,4.98,50
SPY,2022-04-14,474.0,CALL,2022-02-02T17:39:16.985,2022-02-02T13:43:21.376,4.83,5.43,4.82,5.43,41,7,35,7,4.91,50,32,42,4.98,50
SPY,2022-02-18,230.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,30,6,223.71,50,30,31,224.53,50
SPY,2022-02-18,230.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,30,6,223.71,50,30,31,224.53,50
SPY,2022-05-20,448.0,PUT,2022-02-02T17:24:02.075,2022-02-02T14:40:10.829,15.84,16.95,15.61,15.61,28,4,20,7,17.12,50,49,31,17.22,50
SPY,2022-05-20,448.0,PUT,2022-02-02T17:39:16.985,2022-02-02T14:40:10.829,15.84,16.95,15.61,15.61,28,4,20,7,17.12,50,49,31,17.22,50
SPY,2022-03-18,348.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,24,6,106.22,50,24,6,107.34,50
SPY,2022-03-18,348.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,24,6,106.22,50,24,6,107.34,50
SPY,2023-06-16,235.0,PUT,2022-02-02T17:24:02.075,2022-02-02T10:44:18.303,4.17,4.17,4.17,4.17,1,1,641,7,4.17,50,310,31,4.37,50
SPY,2023-06-16,235.0,PUT,2022-02-02T17:39:16.985,2022-02-02T10:44:18.303,4.17,4.17,4.17,4.17,1,1,641,7,4.17,50,310,31,4.37,50
SPY,2022-02-18,300.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,30,6,153.73,50,50,1,154.54,50
SPY,2022-02-18,300.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,30,6,153.73,50,50,1,154.54,50
SPY,2023-01-20,323.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,237,4,135.79,50,21,9,139.53,50
SPY,2023-01-20,323.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,237,4,135.79,50,21,9,139.53,50
SPY,2022-06-17,499.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,5,69,48.96,50,5,69,50.35,50
SPY,2022-06-17,499.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,5,69,48.96,50,5,69,50.35,50
SPY,2022-02-18,490.0,CALL,2022-02-02T17:24:02.075,2022-02-02T16:13:23.406,0.07,0.1,0.05,0.05,2209,116,817,42,0.04,50,302,69,0.05,50
SPY,2022-02-18,490.0,CALL,2022-02-02T17:39:16.985,2022-02-02T16:13:23.406,0.07,0.1,0.05,0.05,2209,116,817,42,0.04,50,302,69,0.05,50
SPY,2024-01-19,230.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,20,9,224.0,50,20,9,229.0,50
